state,title,resource_id,format,validated
Andaman Nicobar,District-wise Details of Livestock Population in Andaman Nicobar - 20th Livestock Census 2019,846d21d7-0fc7-4c91-a853-2081647ce601,CSV,no
Andhra Pradesh,District-wise Details of Livestock Population in Andhra Pradesh - 20th Livestock Census 2019,d5d764b5-ea87-4665-8c1a-22c2a10f7e66,CSV,no
Arunachal Pradesh,District-wise Details of Livestock Population in Arunachal Pradesh - 20th Livestock Census 2019,7a7f44c0-860b-43dd-b6c5-dbcd7f846221,CSV,no
Assam,District-wise Details of Livestock Population in Assam - 20th Livestock Census 2019,6ef56e3a-6d60-4170-ab2d-bdf6e181a12b,CSV,yes
Bihar,District-wise Details of Livestock Population in Bihar - 20th Livestock Census 2019,8b43a5f3-8c61-4dfe-8e28-98b9734b625c,CSV,no
Chandigarh,District-wise Details of Livestock Population in Chandigarh - 20th Livestock Census 2019,dd873e0f-d23a-41d4-83c7-4bac87b62397,CSV,no
Chhattisgarh,District-wise Details of Livestock Population in Chhattisgarh - 20th Livestock Census 2019,70480cbe-1d80-433f-b601-7f657e8fe090,CSV,no
Dadra And Nagar Haveli,District-wise Details of Livestock Population in Dadra And Nagar Haveli - 20th Livestock Census 2019,0c67102e-d2d4-48c0-a4af-f88be236d486,CSV,no
Daman and Diu,District-wise Details of Livestock Population in Daman and Diu - 20th Livestock Census 2019,87e31c05-bd02-4241-85f4-c7fc6fa98a68,CSV,no
Goa,District-wise Details of Livestock Population in Goa - 20th Livestock Census 2019,3ac95c73-0a21-4d05-9e01-6276471af711,CSV,no
Gujarat,District-wise Details of Livestock Population in Gujarat - 20th Livestock Census 2019,339fbef8-8d3e-4c70-a1e1-759d2f25211f,CSV,no
Haryana,District-wise Details of Livestock Population in Haryana - 20th Livestock Census 2019,d8b39a01-5aa8-419a-a6a0-6a7f5d9b47d2,CSV,no
Himachal Pradesh,District-wise Details of Livestock Population in Himachal Pradesh - 20th Livestock Census 2019,819e6f8f-f47a-4cf4-888d-1339b4a4f4ad,CSV,no
Jammu And Kashmir,District-wise Details of Livestock Population in Jammu And Kashmir - 20th Livestock Census 2019,a3f30913-cd7a-4465-97c4-c54f0c962721,CSV,no
Jharkhand,District-wise Details of Livestock Population in Jharkhand - 20th Livestock Census 2019,93f4744f-2dc2-47f9-a3b1-f8700124ab15,CSV,no
Karnataka,District-wise Details of Livestock Population in Karnataka - 20th Livestock Census 2019,54411c6a-fc46-49b0-bca2-7433fabcef81,CSV,yes
Kerala,District-wise Details of Livestock Population in Kerala - 20th Livestock Census 2019,6a35cf54-7fea-4b25-8493-6c3e2fe72529,CSV,no
Lakshadweep,District-wise Details of Livestock Population in Lakshadweep - 20th Livestock Census 2019,6d28e51c-1a6f-44ed-919b-5b5e63576039,CSV,no
Madhya Pradesh,District-wise Details of Livestock Population in Madhya Pradesh - 20th Livestock Census 2019,de0d9673-8d01-48c5-8cdd-65ca7ced4bf4,CSV,no
Maharashtra,District-wise Details of Livestock Population in Maharashtra - 20th Livestock Census 2019,0935d4a7-647e-49ac-a28e-b0890342515c,CSV,no
Manipur,District-wise Details of Livestock Population in Manipur - 20th Livestock Census 2019,3ebc4ca9-8ed7-4ae8-a0b0-07c879d0f024,CSV,no
Meghalaya,District-wise Details of Livestock Population in Meghalaya - 20th Livestock Census 2019,f63903c2-8e1d-4d5d-b059-d939f25aae0b,CSV,no
Mizoram,District-wise Details of Livestock Population in Mizoram - 20th Livestock Census 2019,7cb44e0b-2676-4782-983c-231ae41abaf4,CSV,no
Nagaland,District-wise Details of Livestock Population in Nagaland - 20th Livestock Census 2019,24923144-653a-489e-bf2b-69013a94e53b,CSV,no
Odisha,District-wise Details of Livestock Population in Odisha - 20th Livestock Census 2019,18658cc3-c778-4482-bd2b-bcbf1dbb309d,CSV,no
Puducherry,District-wise Details of Livestock Population in Puducherry - 20th Livestock Census 2019,b5614586-e093-4aae-9983-b699c21f09a6,CSV,no
Punjab,District-wise Details of Livestock Population in Punjab - 20th Livestock Census 2019,406217bf-76c4-442a-89ef-ecc8c6708c95,CSV,no
Rajasthan,District-wise Details of Livestock Population in Rajasthan - 20th Livestock Census 2019,f16b0fcb-62e4-4777-9a9e-52c0ab69940b,CSV,yes
Sikkim,District-wise Details of Livestock Population in Sikkim - 20th Livestock Census 2019,0c61ebaf-5b93-44ce-a50d-e313ee09b639,CSV,no
Tamil Nadu,District-wise Details of Livestock Population in Tamil Nadu - 20th Livestock Census 2019,297b2340-3751-446d-8c56-7a4f4a6fde86,CSV,no
Telangana,District-wise Details of Livestock Population in Telangana - 20th Livestock Census 2019,317f3cbd-75f4-422d-8e53-7282ce4b1cfd,CSV,no
Tripura,District-wise Details of Livestock Population in Tripura - 20th Livestock Census 2019,28fc86c8-82c8-4f19-af07-749de58abe3f,CSV,no
Uttar Pradesh,District-wise Details of Livestock Population in Uttar Pradesh - 20th Livestock Census 2019,58323ceb-b546-4395-af3b-76efadb6907b,CSV,no
Uttarakhand,District-wise Details of Livestock Population in Uttarakhand - 20th Livestock Census 2019,734c8386-42b1-4c8c-86f1-be6a20fd14c0,CSV,no
West Bengal,District-wise Details of Livestock Population in West Bengal - 20th Livestock Census 2019,4e92f370-ee59-4d97-871f-0108b32df4f7,CSV,no
